epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1047.26,0.28212,0.11481,0.00121,0.9845,0.81834,0.8381,0.74226,0.91647,1.51785,0.01845,0.000990365,0.000990365,0.000990365
43,1071.79,0.28513,0.1217,0.0012,0.99035,0.80364,0.83749,0.75012,0.8613,1.54822,0.01617,0.000973861,0.000973861,0.000973861
44,1096.45,0.27557,0.11378,0.00115,0.98107,0.81627,0.84684,0.74954,0.83488,1.49522,0.01543,0.000957358,0.000957358,0.000957358
45,1121.11,0.2783,0.11951,0.00116,0.98226,0.79077,0.82709,0.7449,0.8115,1.73754,0.01476,0.000940855,0.000940855,0.000940855
46,1145.81,0.27709,0.11726,0.00117,0.98002,0.80973,0.8372,0.74705,0.81135,1.62023,0.01483,0.000924352,0.000924352,0.000924352
47,1170.43,0.27433,0.11364,0.00116,0.98425,0.82091,0.83426,0.74326,0.83997,1.63102,0.01615,0.000907848,0.000907848,0.000907848
48,1195.01,0.28067,0.11298,0.0012,0.97576,0.80781,0.82875,0.74445,0.83991,1.64829,0.01569,0.000891345,0.000891345,0.000891345
49,1219.6,0.27093,0.11153,0.00114,0.9855,0.81328,0.83841,0.73774,0.90669,1.50369,0.01749,0.000874842,0.000874842,0.000874842
50,1244.16,0.27054,0.11085,0.00117,0.98514,0.82004,0.83878,0.74744,0.82249,1.567,0.01517,0.000858338,0.000858338,0.000858338
51,1268.82,0.27591,0.11097,0.00119,0.96792,0.82385,0.84287,0.75044,0.83413,1.49665,0.01478,0.000841835,0.000841835,0.000841835
52,1293.38,0.26743,0.10819,0.00112,0.97275,0.81386,0.8375,0.74291,0.78746,1.59949,0.0138,0.000825332,0.000825332,0.000825332
53,1318.01,0.27108,0.10806,0.00115,0.96992,0.8161,0.83237,0.7422,0.78447,1.7046,0.01379,0.000808828,0.000808828,0.000808828
54,1342.7,0.26798,0.10804,0.00113,0.98217,0.80209,0.83223,0.74041,0.81993,1.60444,0.01451,0.000792325,0.000792325,0.000792325
55,1367.27,0.26288,0.10539,0.00113,0.97577,0.80829,0.8368,0.74283,0.87946,1.63559,0.01607,0.000775822,0.000775822,0.000775822
56,1391.9,0.26023,0.10455,0.00111,0.98131,0.80667,0.83813,0.75213,0.77696,1.68403,0.01372,0.000759318,0.000759318,0.000759318
